amsmtFclty,appnNtfcDate,cltrFclty,cnvnncFclty,etcFclty,institutionNm,insttCode,insttNm,latitude,lnmadr,longitude,manageNo,mvmFclty,parkAr,parkNm,parkSe,phoneNumber,rdnmadr,referenceDate
,2004-09-01,,,,광주광역시 광산구,6290000,광주광역시,35.188652,광주광역시 광산구 수완동 1706,126.8302446,29200-00117,,1553.4,새터어린이공원,어린이공원,062-960-6839,,2026-06-29
,2004-09-01,,,,광주광역시 광산구,6290000,광주광역시,35.18683595,광주광역시 광산구 수완동 1492,126.8259675,29200-00118,,2517,은빛어린이공원,어린이공원,062-960-6839,,2026-06-29
,2004-09-01,,,,광주광역시 광산구,6290000,광주광역시,35.18528344,광주광역시 광산구 신가동 1063,126.8234636,29200-00119,,1502,아름어린이공원,어린이공원,062-960-6839,,2026-06-29
,2009-04-15,,,,광주광역시 남구청,6290000,광주광역시,35.13059212,광주광역시 광산구 용동 680-2,126.7512693,29200-00133,,13035.2,천하공원,근린공원,062-607-3811,,2026-06-29
,2009-05-15,,,,광주광역시 북구청,6290000,광주광역시,35.12337076,광주광역시 남구 봉선동 510-1,126.9077424,29155-00041,,3715,조봉어린이공원,어린이공원,062-410-6436,,2026-06-29
,2009-05-15,,,,광주광역시 북구청,6290000,광주광역시,35.17475666,광주광역시 북구 동림동 898-1,126.8630093,29170-00106,,763.7,동림1소공원,소공원,062-410-6436,,2026-06-29
,2009-06-30,,,,광주광역시 동구청,6290000,광주광역시,35.17333782,광주광역시 북구 동림동 1328,126.8647648,29170-00107,,521,유림소공원,소공원,062-608-2952,,2026-06-29
,2009-06-30,,,,광주광역시 동구청,6290000,광주광역시,35.11952804,광주광역시 동구 용산동 717,126.926093,29110-00020,,14459,용산공원,근린공원,062-608-2952,,2026-06-29
,2007-02-01,,,,광주광역시 광산구,6290000,광주광역시,35.18336773,광주광역시 광산구 흑석동 723,126.8026331,29200-00122,,14733.1,하나울공원,근린공원,062-960-6839,,2026-06-29
,2007-02-01,,,,광주광역시 광산구,6290000,광주광역시,35.18362566,광주광역시 광산구 하남동 1157,126.7982521,29200-00123,,1523.7,한밭어린이공원,어린이공원,062-960-6839,,2026-06-29
,2009-02-05,,,,광주광역시 광산구,6290000,광주광역시,35.21012185,광주광역시 광산구 진곡동 556,126.7849692,29200-00127,,11316,진곡공원,근린공원,062-960-6839,,2026-06-29
조합놀이대+그네+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67815864,경기도 고양시 일산서구 대화동 2211,126.7493772,41287-00016,체력단련시설,6555,양촌,어린이공원,031-8075-4341,경기도 고양시 일산서구 일산로 732-3,2025-12-15
조합놀이대,1991-06-29,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67363707,경기도 고양시 일산서구 대화동 2235,126.7460472,41287-00017,체력단련시설,3002.5,김서,어린이공원,031-8075-4341,,2025-12-15
,1991-06-29,,화장실,수경시설,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67402156,경기도 고양시 일산서구 대화동 2241,126.7515073,41287-00018,체력단련시설,16574,장촌,근린공원,031-8075-4341,경기도 고양시 일산서구 중앙로 1525,2025-12-15
조합놀이대+정글짐+시소+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67219634,경기도 고양시 일산서구 대화동 2265,126.7507291,41287-00019,체력단련시설,3217,강서,어린이공원,031-8075-4341,경기도 고양시 일산서구 호수로838번길 55-7,2025-12-15
조합놀이대+정글짐+시소+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68229664,경기도 고양시 일산서구 일산동 1043,126.7622449,41287-00020,체력단련시설,4999,도화,어린이공원,031-8075-4341,경기도 고양시 일산서구 일산로 604,2025-12-15
조합놀이대+그네+시소+흔들놀이대+회전놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67721758,경기도 고양시 일산서구 일산동 1095,126.7740777,41287-00021,체력단련시설,6400,윗말,어린이공원,031-8075-4341,경기도 고양시 일산서구 고봉로 189-3,2025-12-15
조합놀이대+정글짐+그네+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.6735398,경기도 고양시 일산서구 주엽동 39,126.7716033,41287-00022,체력단련시설,5701,이물재,어린이공원,031-8075-4341,경기도 고양시 일산서구 고봉로 143-3,2025-12-15
조합놀이대+그네+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.6747456,경기도 고양시 일산서구 주엽동 10,126.7584541,41287-00023,체력단련시설,4901,문촌,어린이공원,031-8075-4341,경기도 고양시 일산서구 주엽로 173-4,2025-12-15
,1991-06-29,,화장실,조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.66867703,경기도 고양시 일산서구 주엽동 118,126.7603779,41287-00024,체력단련시설,19614,주엽,근린공원,031-8075-4341,경기도 고양시 일산서구 주화로 65-3,2025-12-15
조합놀이대+그네+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.66954988,경기도 고양시 일산서구 주엽동 130,126.7553261,41287-00025,야외배드민턴장+체력단련시설,7875,백암,어린이공원,031-8075-4341,경기도 고양시 일산서구 주엽로 107,2025-12-15
조합놀이대+그네+시소+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67606162,경기도 고양시 일산서구 주엽동 34,126.764586,41287-00026,,4001,오거리,어린이공원,031-8075-4341,경기도 고양시 일산서구 주엽로 220-4,2025-12-15
조합놀이대+그네+시소+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67830724,경기도 고양시 일산서구 일산동 1375,126.7609682,41287-00027,체력단련시설,5700,오마,어린이공원,031-8075-4341,경기도 고양시 일산서구 주엽로 219,2025-12-15
조합놀이대+그네+시소+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67254864,경기도 고양시 일산서구 주엽동 52,126.7633732,41287-00028,,4000,강재,어린이공원,031-8075-4341,경기도 고양시 일산서구 강성로 126,2025-12-15
조합놀이대+정글짐+그네+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.6695506,경기도 고양시 일산서구 주엽동 55,126.7690897,41287-00029,체력단련시설,6901,궁골,어린이공원,031-8075-4341,경기도 고양시 일산서구 고봉로 91-3,2025-12-15
,1991-06-29,,화장실,조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67117101,경기도 고양시 일산서구 주엽동 78,126.7620628,41287-00030,다목적운동장+체력단련시설,34384,강선,근린공원,031-8075-4341,경기도 고양시 일산서구 강성로 124,2025-12-15
조합놀이대+정글짐+시소+흔들놀이대,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.66568037,경기도 고양시 일산서구 주엽동 91,126.7638604,41287-00031,체력단련시설,3803,회화,어린이공원,031-8075-4341,경기도 고양시 일산서구 고봉로 25-3,2025-12-15
,1995-04-03,,화장실,수경시설+조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67842011,경기도 고양시 일산서구 일산동 1400,126.7669398,41287-00032,체력단련시설,19195,후동,근린공원,031-8075-4341,경기도 고양시 일산서구 일산로 552-1,2025-12-15
,1995-04-03,,화장실,수경시설+조형물+시계탑,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67705604,경기도 고양시 일산서구 일산동 1379,126.7659922,41287-00033,체력단련시설,40373,문화,근린공원,031-8075-4341,경기도 고양시 일산서구 일산로 553-1,2025-12-15
조합놀이대,1997-01-21,,화장실,조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.69071006,경기도 고양시 일산서구 탄현동 1580,126.7649935,41287-00034,다목적운동장+체력단련시설,10027,숯고개,근린공원,031-8075-4341,경기도 고양시 일산서구 산현로 33,2025-12-15
조합놀이대,2001-06-22,,화장실,조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68619741,경기도 고양시 일산서구 가좌동 1098,126.7216817,41287-00035,게이트볼장+실내배드민턴장+체력단련시설,50155,가좌,근린공원,031-8075-4341,경기도 고양시 일산서구 송산로 387-7,2025-12-15
조합놀이대,2001-06-22,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67030086,경기도 고양시 일산서구 대화동 1495-1,126.7301278,41287-00036,족구장+체력단련시설,8968,송포,근린공원,031-8075-4341,,2025-12-15
조합놀이대,2001-06-22,,,수경시설+야외무대+조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67190295,경기도 고양시 일산서구 대화동 750-16,126.7346817,41287-00037,체력단련시설,10289,호미걸이,근린공원,031-8075-4341,,2025-12-15
조합놀이대,2002-12-31,,화장실,조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.66991791,경기도 고양시 일산서구 대화동 2314,126.7371001,41287-00038,축구장+게이트볼장+농구장+인라인스케이트장+테니스장+실내배드민턴장+체력단련시설,45798,레포츠,체육공원,031-8075-4341,경기도 고양시 일산서구 대화로156번길 39,2025-12-15
조합놀이대,2003-04-21,,화장실,수경시설+조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.66501092,경기도 고양시 일산서구 대화동 1050-176,126.7562768,41287-00039,,42416.2,국제전시장,근린공원,031-8075-4341,경기도 고양시 일산서구 한류월드로 280,2025-12-15
,2006-01-31,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.69601631,경기도 고양시 일산서구 덕이동 산131-7,126.7494325,41287-00040,체력단련시설,18733.5,덕이근린2(한산),근린공원,031-8075-4341,,2025-12-15
조합놀이대,2006-01-31,,화장실,수경시설,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.70169688,경기도 고양시 일산서구 덕이동 산145-1,126.7544741,41287-00041,풋살구장+농구장+족구장+실내배드민턴장+체력단련시설,45701.2,덕이근린1(덕이),근린공원,031-8075-4341,,2025-12-15
조합놀이대+그네+시소+흔들놀이대,2006-10-02,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.70351395,경기도 고양시 일산서구 탄현동 1634-1,126.7645746,41287-00042,게이트볼장+체력단련시설,2303,탄현일단의주택지168(탄현용현),어린이공원,031-8075-4341,,2025-12-15
조합놀이대+그네+흔들놀이기구+미끄럼틀,2005-08-24,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68018521,경기도 고양시 일산동구 식사동 1502,126.8153401,41285-00069,,2600,식사어린이4(과학),어린이공원,031-8075-4337,,2025-12-15
조합놀이대+건너는기구+흔들놀이기구+미끄럼틀,2005-08-24,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68300188,경기도 고양시 일산동구 식사동 1511,126.8074054,41285-00070,,5210,식사어린이5(올림푸스놀이),어린이공원,031-8075-4337,경기도 고양시 일산동구 위시티4로 111,2025-12-15
조합놀이대+그네+흔들놀이기구+미끄럼틀,2005-08-24,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.675631,경기도 고양시 일산동구 식사동 1566,126.8123988,41285-00071,,2600,식사어린이6(저현),어린이공원,031-8075-4337,,2025-12-15
그네+시소+조합놀이대+흔들말,2005-08-24,,화장실,야외무대+수경시설+조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67777805,경기도 고양시 일산동구 식사동 1535,126.8138635,41285-00072,체력단련시설,31578,식사근린2(식사중앙),근린공원,031-8075-4337,경기도 고양시 일산동구 위시티3로 44-2,2025-12-15
,2005-08-24,,화장실,수경설,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67423648,경기도 고양시 일산동구 식사동 1569,126.8110443,41285-00073,야외배드민턴장+체력단련시설,15220,식사근린3(방아고개),근린공원,031-8075-4337,경기도 고양시 일산동구 위시티1로 25,2025-12-15
,2008-10-31,,화장실,야외무대,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.65948674,경기도 고양시 일산동구 장항동 845,126.7726989,41285-00074,,54226.4,일산문화공원,근린공원,031-8075-4333,경기도 고양시 일산동구 중앙로 1271-1,2025-12-15
,2010-02-02,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.64336554,경기도 고양시 일산동구 백석동 1237-1,126.7920516,41285-00075,,5742,문화공원(요진Y-City),문화공원,031-8075-4333,,2025-12-15
,2014-07-08,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67301071,경기도 고양시 일산동구 식사동 625-3,126.8082574,41285-00076,,1486,소공원(식사2),소공원,031-8075-4337,,2025-12-15
조합놀이대,2014-07-18,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67297712,경기도 고양시 일산동구 식사동 산106-2,126.8116032,41285-00077,체력단련시설,1525,어린이공원(식사2),어린이공원,031-8075-4337,,2025-12-15
조합놀이대,2014-07-18,,화장실,야외무대,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67089055,경기도 고양시 일산동구 식사동 621-16,126.8110623,41285-00078,"체력단련시설,+농구장",21926,근린공원(식사2),근린공원,031-8075-4337,,2025-12-15
,2015-06-30,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67939508,경기도 고양시 일산동구 중산동 1853,126.7904581,41285-00079,,1007.2,파란,소공원,031-8075-4337,,2025-12-15
조합놀이대,2015-06-30,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67791741,경기도 고양시 일산동구 중산동 1832,126.7805731,41285-00080,체력단련시설,17237.6,모당,근린공원,031-8075-4337,,2025-12-15
아이놀숲+모래마당+무장애놀이터,1974-05-16,,화장실+주차장,수경시설+야외무대+전망대,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.69998903,경기도 고양시 일산서구 탄현동 산16,126.7752129,41287-00001,족구장+실내배드민턴장+다목적운동장+체력단련시설,88210.3,탄현근린,근린공원,031-8075-4341,,2025-12-15
조합놀이대+그네+시소,1990-12-19,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.69766301,경기도 고양시 일산서구 탄현동 1475,126.7673758,41287-00002,체력단련시설,1500,탄현 1(황룡),어린이공원,031-8075-4341,경기도 고양시 일산서구 탄현로 73,2025-12-15
조합놀이대+그네+흔들놀이대,1990-12-19,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.69559116,경기도 고양시 일산서구 탄현동 1478,126.7675316,41287-00003,체력단련시설,1500,탄현 3(현중),어린이공원,031-8075-4341,경기도 고양시 일산서구 현중로 56,2025-12-15
조합놀이대+흔들놀이대+놀이집,1990-12-19,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.6939833,경기도 고양시 일산서구 탄현동 1486,126.7663116,41287-00004,체력단련시설,1500,탄현 4(숯고개),어린이공원,031-8075-4341,경기도 고양시 일산서구 홀트로 16-2,2025-12-15
조합놀이대+그네+흔들놀이대,1990-12-19,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.69409935,경기도 고양시 일산서구 탄현동 1495,126.768920,41287-00005,체력단련시설,1501,탄현 5(탄현),어린이공원,031-8075-4341,경기도 고양시 일산서구 현중로36번길 20-2,2025-12-15
조합놀이대+그네+흔들놀이대+철봉,1990-12-19,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.69423204,경기도 고양시 일산서구 탄현동 1501,126.7709827,41287-00006,체력단련시설,1494,탄현 6(탄중),어린이공원,031-8075-4341,경기도 고양시 일산서구 탄중로233번길 16,2025-12-15
조합놀이대+흔들놀이대+암벽오르기,1990-12-19,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.69750131,경기도 고양시 일산서구 탄현동 1554,126.7713453,41287-00007,체력단련시설,1811,탄현 2(황룡산),어린이공원,031-8075-4341,,2025-12-15
조합놀이대,1991-05-31,,화장실,수경시설+야외무대+조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.69355743,경기도 고양시 일산서구 일산동 1558,126.7762593,41287-00008,체력단련시설,27167,중산 10(한뫼),근린공원,031-8075-4341,경기도 고양시 일산서구 탄중로 284,2025-12-15
조합놀이대+그네+시소,1991-06-29,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68443535,경기도 고양시 일산서구 대화동 2008,126.7577169,41287-00009,체력단련시설,3987,새말,어린이공원,031-8075-4341,경기도 고양시 일산서구 웅비로12번길 5-21,2025-12-15
조합놀이대+그네+시소+흔들놀이대,1991-06-29,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68417826,경기도 고양시 일산서구 대화동 2065,126.7541354,41287-00010,체력단련시설,3659,토성,어린이공원,031-8075-4341,경기도 고양시 일산서구 성저로50번길 23,2025-12-15
조합놀이대+그네+시소,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68218922,경기도 고양시 일산서구 대화동 2092,126.7515212,41287-00011,체력단련시설,4326,왕산,어린이공원,031-8075-4341,경기도 고양시 일산서구 성저로 24-2,2025-12-15
,1991-06-29,,화장실,야외무대+시계탑,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68232402,경기도 고양시 일산서구 대화동 2104,126.7562364,41287-00012,다목적운동장+체력단련시설,50334,성저,근린공원,031-8075-4341,경기도 고양시 일산서구 일산로 655,2025-12-15
조합놀이대+그네+흔들놀이대+철봉,1991-06-29,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67989046,경기도 고양시 일산서구 대화동 2113,126.7557898,41287-00013,,1994,가와지,어린이공원,031-8075-4341,경기도 고양시 일산서구 일산로695번길 47,2025-12-15
조합놀이대+그네+흔들놀이대+철봉+평행봉,1991-06-29,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67679795,경기도 고양시 일산서구 대화동 2166,126.7538503,41287-00014,체력단련시설,4798,장성,어린이공원,031-8075-4341,경기도 고양시 일산서구 강성로214번길 41-10,2025-12-15
,1991-06-29,,화장실,조형물,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67426561,경기도 고양시 일산서구 대화동 2201,126.7538961,41287-00015,체력단련시설,16685,대화,근린공원,031-8075-4341,경기도 고양시 일산서구 강성로 203,2025-12-15
어린이놀이시설,1944-01-08,,주차장+화장실,관리사무소+벽천+연못,월미공원사업소,6280000,인천광역시,37.43211381,인천광역시 연수구 선학동 134-11,126.6967883,28185-00037,체력단련시설,850681,무주골공원,근린공원,032-440-5952,인천광역시 연수구 넘말로 97,2026-02-01
휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.23979543,경기도 수원시 권선구 평동 13-236,127.0552753,41113-00121,,1315.3,12호소공원,소공원,031-5191-6195,,2026-01-15
휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.24576426,경기도 수원시 권선구 오목천동 314-86,126.9660779,41113-00122,,174,18호소공원,소공원,031-5191-6195,,2026-01-15
휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.27631795,경기도 수원시 권선구 금곡동 1115,126.9556215,41113-00123,,671.1,20호소공원,소공원,031-5191-6195,,2026-01-15
휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.27151843,경기도 수원시 권선구 금곡동 1134-4,126.9573903,41113-00124,,269,21호소공원,소공원,031-5191-6195,,2026-01-15
휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.26707309,경기도 수원시 권선구 호매실동 1354,126.9462954,41113-00125,,739.6,22호소공원,소공원,031-5191-6195,,2026-01-15
휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.24753698,경기도 수원시 권선구 권선동 1367-14,127.026406,41113-00126,,1104.8,28호소공원,소공원,031-5191-6195,,2026-01-15
휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.2488844,경기도 수원시 권선구 권선동 1367-26,127.0209394,41113-00127,,1030.3,29호소공원,소공원,031-5191-6195,,2026-01-15
휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.25623296,경기도 수원시 권선구 호매실동 1413-4,126.9605291,41113-00128,,454.4,34호소공원,소공원,031-5191-6195,,2026-01-15
휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.27795615,경기도 수원시 권선구 금곡동 1064,126.9435986,41113-00129,,421.6,35호소공원,소공원,031-5191-6195,,2026-01-15
조합놀이대1,,,화장실1,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.29269733,경기도 수원시 권선구 당수동 292-1,126.9358111,41113-00073,,4614,까치,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1+바닥분수1,,,,음수대1,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.29619165,경기도 수원시 권선구 입북동 811,126.9593666,41113-00074,,2700,갓띠,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.28432415,경기도 수원시 권선구 구운동 892,126.9763281,41113-00075,,1860,다온,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.2825796,경기도 수원시 권선구 구운동 910,126.9735142,41113-00076,,1657,꽃길,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.28530362,경기도 수원시 권선구 구운동 895,126.9724008,41113-00077,다목적구장(농구)1,2448,세모,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.28048782,경기도 수원시 권선구 구운동 933,126.9703666,41113-00078,,906.8,드림,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.28067947,경기도 수원시 권선구 구운동 941-1,126.9723015,41113-00079,다목적구장(배드민턴)1,2143,하늬,어린이공원,031-5191-6195,경기도 수원시 권선구 구운로 73번길 10-14,2026-01-15
조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.2785693,경기도 수원시 권선구 구운동 955,126.9698845,41113-00080,다목적구장(농구)1,1700,별솔,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1,,,화장실1,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.2487464,경기도 수원시 권선구 권선동 1275,127.0304415,41113-00065,,2856.9,선일,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1,,,화장실1,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.25010811,경기도 수원시 권선구 권선동 1264,127.0284402,41113-00066,,2202.2,다솜,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1,,,화장실1,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.25244724,경기도 수원시 권선구 권선동 1261,127.0287838,41113-00067,,1649.7,우솔,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1,,,화장실1,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.25347243,경기도 수원시 권선구 권선동 1185-1,127.0230507,41113-00068,다목적구장(배드민턴+족구)2,2974.4,권선,어린이공원,031-5191-6195,경기도 수원시 권선구 경수대로 302번길 29,2026-01-15
놀이시설2,,,화장실1,음수대1,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.25206241,경기도 수원시 권선구 권선동 1333,127.0277848,41113-00069,,3338.7,아우름,어린이공원,031-5191-6195,,2026-01-15
조합놀이대1,,,화장실1,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.25271498,경기도 수원시 권선구 권선동 1188-1,127.0222966,41113-00070,다목적구장(족구)1,2809,다정,어린이공원,031-5191-6195,경기도 수원시 권선구 경수대로 302번길 32,2026-01-15
조합놀이대1,,,노인정1,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.25735256,경기도 수원시 권선구 세류동 463-1,127.0096088,41113-00071,,2003.6,버드내,어린이공원,031-5191-6195,경기도 수원시 권선구 수원천로 24,2026-01-15
조합놀이대1,,,,,경기도 수원시 권선구 녹지공원과,3740000,경기도 수원시,37.26018376,경기도 수원시 권선구 평동 21-158,126.9960193,41113-00072,,1633,벌말,어린이공원,031-5191-6195,,2026-01-15
,2002-02-18,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.66450853,경기도 고양시 일산동구 풍동 184,126.8035678,41285-00063,야외배드민턴장,3726,풍동(풍식사2),문화공원,031-8075-4337,,2025-12-15
,2005-04-21,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.65789838,경기도 고양시 일산동구 장항동 1798-1,126.7583196,41285-00064,,81511.2,수변공원,근린공원,031-8075-4333,경기도 고양시 일산동구 연리지로 17-2,2025-12-15
그네+시소+조합놀이대+흔들말,2005-08-24,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68539245,경기도 고양시 일산동구 식사동 1478,126.8122132,41285-00065,실내다목적체육관+체력단련시설,25004,식사근린1(어침이),근린공원,031-8075-4337,경기도 고양시 일산동구 위시티로 149,2025-12-15
조합놀이대+흔들놀이기구,2005-08-24,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.67456234,경기도 고양시 일산동구 식사동 1588,126.8075159,41285-00066,,2605,식사어린이1(상상),어린이공원,031-8075-4337,경기도 고양시 일산동구 위시티로 18,2025-12-15
흔들놀이기구+기타,2005-08-24,,,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68275713,경기도 고양시 일산동구 식사동 1496,126.8171515,41285-00067,,2605,식사어린이2(식사숲속),어린이공원,031-8075-4337,,2025-12-15
조합놀이대+건너는기구+흔들놀이기구+미끄럼틀,2005-08-24,,화장실,,경기도 고양시 푸른도시사업소,3940000,경기도 고양시,37.68164852,경기도 고양시 일산동구 식사동 1509,126.8095471,41285-00068,,2600,식사어린이3(바람놀이),어린이공원,031-8075-4337,,2025-12-15
조합놀이대,1992-10-16,,연식의자,CCTV,경상북도 구미시청,5080000,경상북도 구미시,36.0907776,경상북도 구미시 상모동 45,128.356052,47190-00073,공중걷기,1723,애린공원,어린이공원,054-480-5572,,2026-04-02
조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,3740000,경기도 수원시,37.23984573,경기도 수원시 영통구 망포동 383-3,127.0553349,41117-00066,다목적구장(족구)1,2135,방죽,어린이공원,031-5191-8331,,2026-01-15
,,,,,경기도 수원시 영통구 녹지공원과,3740000,경기도 수원시,37.238967,경기도 수원시 영통구 망포동 544-11,127.0555283,41117-00067,,907,소담,어린이공원,031-5191-8331,경기도 수원시 영통구 태장로 84,2026-01-15
조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,3740000,경기도 수원시,37.23990141,경기도 수원시 영통구 망포동 724,127.0573732,41117-00068,,1846.8,소문,어린이공원,031-5191-8331,,2026-01-15
조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,3740000,경기도 수원시,37.2387693,경기도 수원시 영통구 망포동 523-1,127.059446,41117-00069,,887,온누리,어린이공원,031-5191-8331,,2026-01-15
조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,3740000,경기도 수원시,37.24245373,경기도 수원시 영통구 망포동 708,127.0645009,41117-00070,,1507.1,수련,어린이공원,031-5191-8331,,2026-01-15
